id,label,building,purpose
R001,A101,A,
R002,A104,A,
R003,A109,A,
R004,A119,A,
R005,A120,A,
R006,A134,A,
R007,A137,A,
R008,B101,B,
R009,B102,B,
R010,B103,B,
R011,B107,B,
R012,B111,B,
R013,B112,B,
R014,B116,B,
R015,B117,B,
R016,B120,B,
R017,C1,C,
R018,C2,C,
R019,C3,C,
R020,C4,C,
R021,C5,C,
R022,C6,C,
R023,C7,C,
R024,C8,C,
R025,D-LIB,D,
R026,D1,D,
R027,D2,D,
R028,E01,E,
R029,E04,E,
R030,E09,E,
R031,E10,E,
R032,E14,E,
R033,E15,E,
R034,E17,E,
R035,F1,F,
R036,F2,F,
R037,F4,F,
R038,F5,F,
R039,F6,F,
R040,G1,G,
R041,G2,G,
R042,G3,G,
R043,G4,G,
R044,G5,G,
R045,G6,G,
R046,G7,G,
R047,H1,H,
R048,H2,H,
R049,H3,H,
R050,H4,H,
R051,H5,H,
R052,H110,H,
R053,H112,H,
R054,J1,J,
R055,J2,J,
R056,J3,J,
R057,J4,J,
R058,J5,J,
R059,J6,J,
R060,J7,J,
R061,J8,J,
R062,J9,J,
R063,J10,J,
R064,K1,K,
R065,K2,K,
R066,K3,K,
R067,K4,K,
R068,K5,K,
R069,K6,K,
R070,K6,K,
R071,K7,K,
R072,K8,K,
R073,K9,K,
R074,K10,K,
R075,K12,K,
R076,K13,K,
R077,K14,K,
R078,K15,K,
R079,K16,K,
R080,K100,K,
R081,K102,K,
R082,K105,K,
R083,K107,K,
R084,K109,K,
R085,L1,L,
R086,L2,L,
R087,L3,L,
R088,L4,L,
R089,L5,L,
R090,L6,L,
R091,L7,L,
R092,L8,L,
R093,M1,M,
R094,M2,M,
R095,M3,M,
R096,M4,M,
R097,M5,M,
R098,N100,N,
R099,N101,N,
R100,N102,N,
R101,N103,N,
R102,N104,N,
R103,N105,N,
R104,N106,N,
R105,N107,N,
R106,N108,N,
R107,N109,N,
R108,N110,N,
R109,N111,N,
R110,N112,N,
R111,N113,N,
R112,N114,N,
R113,N115,N,
R114,N116,N,
R115,N117,N,
R116,N123,N,
R117,P105,P,
R118,P106,P,
R119,P115,P,
R120,P116,P,
R121,P117,P,
R122,S101,S,
R123,S102,S,
R124,S121,S,
R128,BG111,BG,boys
R129,BG117,BG,yoga
R133,BG138,BG,gender neutral
R134,N200,N,2F
R135,N201,N,2F
R136,N202,N,2F
R137,N203,N,2F
R138,N204,N,2F
R139,N205,N,2F
R140,N206,N,2F
R141,N207,N,2F
R142,N208,N,2F
R143,N209,N,2F
R144,N210,N,2F
R145,N211,N,2F
R146,N212,N,2F
R147,N213,N,2F
R148,N214,N,2F
R149,N215,N,2F
R150,N216,N,2F
R151,N217,N,2F
R152,N223,N,2F
